"","SITE_ID","SITE_NAME","SURVEY_ID","EVENT_DATE","SURVEY_SPECIES_ID","SPECIES_ID","SPECIES_NAME","LATIN_NAME","SPECIES_RUN_ID","RUN_NUMBER","BULK_MEASURED_ID","BULK_LENGTH_START","BULK_LENGTH_END","BULK_FISH_COUNT","BULK_FISH_WEIGHT","AGE_BAND"
"1",3712,"Owston Ferry",52158,2002-07-23,153286,241,"European eel","Anguilla anguilla",155163,2,70323,,,1,120,""
"2",3663,"Epperstone Wash Bridge",52164,2002-07-15,153326,241,"European eel","Anguilla anguilla",155239,1,62241,,,1,590,""
"3",3713,"A161 Road Bridge",52187,2002-07-25,153466,241,"European eel","Anguilla anguilla",155546,1,70322,,,7,1280,""
"4",5812,"Hardwick Ferry L/B",72171,2002-08-07,224620,194,"Roach","Rutilus rutilus",227220,1,37440,50,90,300,,""
"5",5812,"Hardwick Ferry L/B",72171,2002-08-07,224760,241,"European eel","Anguilla anguilla",227420,1,37460,,,1,80,""
"6",5812,"Hardwick Ferry L/B",76901,2003-06-24,248515,194,"Roach","Rutilus rutilus",270041,1,47970,50,120,423,,""
"7",3677,"Haxey Gate",78632,2003-10-28,257221,241,"European eel","Anguilla anguilla",285989,1,50346,,,1,620,""
"8",3722,"Epworth Road Bridge",79872,2004-04-07,265075,241,"European eel","Anguilla anguilla",299585,1,55872,,,2,400,""
"9",3614,"Ratcliffe on Soar",80378,2004-07-07,268052,241,"European eel","Anguilla anguilla",305683,1,56956,,,1,410,""
"10",3651,"Royal Avenue",80401,2004-07-12,268189,241,"European eel","Anguilla anguilla",305945,1,56655,,,1,1000,""
"11",3676,"Misterton Soss",82109,2004-09-13,277088,241,"European eel","Anguilla anguilla",322293,1,58466,,,4,1350,""
"12",3676,"Misterton Soss",82109,2004-09-13,277088,241,"European eel","Anguilla anguilla",322294,2,58467,,,4,650,""
"13",5812,"Hardwick Ferry L/B",82825,2004-06-22,281062,194,"Roach","Rutilus rutilus",329504,2,59341,50,100,110,,""
"14",5812,"Hardwick Ferry L/B",84878,2005-06-14,292340,194,"Roach","Rutilus rutilus",350105,1,63051,50,130,428,,""
"15",5812,"Hardwick Ferry L/B",84878,2005-06-14,292340,194,"Roach","Rutilus rutilus",350106,2,63058,50,130,352,,""
"16",5812,"Hardwick Ferry L/B",99953,2006-06-27,362242,199,"Silver bream","Abramis bjoerkna",440667,1,103168,50,125,198,,""
"17",5812,"Hardwick Ferry L/B",99953,2006-06-27,362245,182,"Common bream","Abramis brama",440673,1,103169,50,125,173,,""
"18",5812,"Hardwick Ferry L/B",99953,2006-06-27,362246,478,"Roach x common bream hybrid","Rutilus rutilus x Abramis brama",440675,1,103170,50,125,35,,""
"19",5812,"Hardwick Ferry L/B",99953,2006-06-27,362249,194,"Roach","Rutilus rutilus",440681,1,103171,50,125,1163,,""
"20",35051,"Toton - Top Main River",121700,2010-05-19,466036,284,"Minnow","Phoxinus phoxinus",616815,2,141936,,,46,,""
"21",35051,"Toton - Top Main River",121700,2010-05-19,466036,284,"Minnow","Phoxinus phoxinus",616816,3,141938,,,34,,""
"22",35051,"Toton - Top Main River",121700,2010-05-19,466038,193,"Gudgeon","Gobio gobio",616821,2,141937,,,15,,""
"23",35051,"Toton - Top Main River",121700,2010-05-19,466038,193,"Gudgeon","Gobio gobio",616822,3,141939,,,31,,""
"24",35052,"Toton - Top of Bypass Channel",121703,2010-05-19,466062,193,"Gudgeon","Gobio gobio",616873,1,141940,,,44,,""
"25",35052,"Toton - Top of Bypass Channel",121703,2010-05-19,466062,193,"Gudgeon","Gobio gobio",616874,2,141943,,,75,,""
"26",35052,"Toton - Top of Bypass Channel",121703,2010-05-19,466063,284,"Minnow","Phoxinus phoxinus",616875,1,141941,,,40,,""
"27",35052,"Toton - Top of Bypass Channel",121703,2010-05-19,466063,284,"Minnow","Phoxinus phoxinus",616876,2,141944,,,47,,""
"28",3564,"Nooning Lane",122567,2010-07-01,472808,284,"Minnow","Phoxinus phoxinus",625580,1,142758,,,77,,""
"29",3564,"Nooning Lane",122567,2010-07-01,472808,284,"Minnow","Phoxinus phoxinus",625581,2,142761,,,7,,""
"30",41327,"Nooning Lane Net",124238,2010-09-29,481074,284,"Minnow","Phoxinus phoxinus",639823,1,144645,,,635,,""
"31",36189,"North Clifton Net",124495,2010-10-19,482313,153,"Dace","Leuciscus leuciscus",642201,1,145116,,,45,,""
"32",34662,"Stoke Bardolph Net",124499,2010-10-14,482348,284,"Minnow","Phoxinus phoxinus",642236,1,145123,,,240,,""
"33",34662,"Stoke Bardolph Net",124499,2010-10-14,482352,193,"Gudgeon","Gobio gobio",642240,1,145124,,,7,,""
"34",3670,"Cottam Gauging Station",126326,2011-05-24,491400,284,"Minnow","Phoxinus phoxinus",655250,1,147759,,,60,,""
"35",3670,"Cottam Gauging Station",126326,2011-05-24,491400,284,"Minnow","Phoxinus phoxinus",655251,2,147762,,,14,,""
"36",3670,"Cottam Gauging Station",126326,2011-05-24,491403,283,"Bullhead","Cottus gobio",655259,1,147760,,,35,,""
"37",3670,"Cottam Gauging Station",126326,2011-05-24,491403,283,"Bullhead","Cottus gobio",655260,2,147763,,,6,,""
"38",3670,"Cottam Gauging Station",126326,2011-05-24,491404,286,"Stone loach","Barbatula barbatula",655262,1,147761,,,3,,""
"39",3659,"Q.M.C.",126852,2011-07-06,494521,286,"Stone loach","Barbatula barbatula",659938,1,148382,,,17,,""
"40",38968,"Grange Farm",127694,2011-09-02,499765,284,"Minnow","Phoxinus phoxinus",668000,1,150023,,,263,,""
"41",38968,"Grange Farm",127694,2011-09-02,499765,284,"Minnow","Phoxinus phoxinus",668001,2,150027,,,155,,""
"42",38968,"Grange Farm",127694,2011-09-02,499768,281,"3-spined stickleback","Gasterosteus aculeatus",668006,1,150024,,,16,,""
"43",38968,"Grange Farm",127694,2011-09-02,499768,281,"3-spined stickleback","Gasterosteus aculeatus",668007,2,150028,,,31,,""
"44",38968,"Grange Farm",127694,2011-09-02,499769,283,"Bullhead","Cottus gobio",668008,1,150025,,,21,,""
"45",38968,"Grange Farm",127694,2011-09-02,499769,283,"Bullhead","Cottus gobio",668009,2,150029,,,35,,""
"46",38968,"Grange Farm",127694,2011-09-02,499770,285,"Spined loach","Cobitis taenia",668010,1,150026,,,11,,""
"47",38968,"Grange Farm",127694,2011-09-02,499770,285,"Spined loach","Cobitis taenia",668011,2,150030,,,7,,""
"48",38968,"Grange Farm",127694,2011-09-02,499771,282,"10-spined stickleback","Pungitius pungitius",668013,2,150031,,,1,,""
"49",34662,"Stoke Bardolph Net",128080,2011-09-21,501682,284,"Minnow","Phoxinus phoxinus",670997,1,150475,,,1622,,""
"50",34662,"Stoke Bardolph Net",128080,2011-09-21,501683,194,"Roach","Rutilus rutilus",670998,1,150476,,,93,,""
"51",34661,"Colwick Marina Net",128081,2011-09-21,501701,194,"Roach","Rutilus rutilus",671016,1,150477,,,1648,,""
"52",39786,"Sawley Weir Net",128377,2011-10-07,503234,284,"Minnow","Phoxinus phoxinus",673169,1,150769,,,194,,""
"53",39787,"Muskham Bridge Net",128379,2011-10-07,503251,284,"Minnow","Phoxinus phoxinus",673186,1,150773,,,327,,""
"54",39787,"Muskham Bridge Net",128379,2011-10-07,503252,194,"Roach","Rutilus rutilus",673187,1,150788,,,60,,""
"55",39787,"Muskham Bridge Net",128379,2011-10-07,503254,152,"Chub","Leuciscus cephalus",673189,1,150789,,,52,,""
"56",39987,"US Sluices",128487,2011-10-12,503926,152,"Chub","Leuciscus cephalus",674107,1,150908,,,35,,""
"57",39987,"US Sluices",128487,2011-10-12,503926,152,"Chub","Leuciscus cephalus",674108,2,150911,,,63,,""
"58",39987,"US Sluices",128487,2011-10-12,503927,153,"Dace","Leuciscus leuciscus",674109,1,150909,,,177,,""
"59",39987,"US Sluices",128487,2011-10-12,503927,153,"Dace","Leuciscus leuciscus",674110,2,150912,,,101,,""
"60",41976,"Radcliffe on Trent",133143,2012-08-23,526492,283,"Bullhead","Cottus gobio",703887,1,158324,,,54,,""
"61",3656,"Clifton, Green Lane",132368,2012-06-18,528727,283,"Bullhead","Cottus gobio",706917,1,158761,,,32,,""
"62",3656,"Clifton, Green Lane",132368,2012-06-18,528727,283,"Bullhead","Cottus gobio",706918,2,158764,,,39,,""
"63",3656,"Clifton, Green Lane",132368,2012-06-18,528737,281,"3-spined stickleback","Gasterosteus aculeatus",706928,1,158762,,,1,,""
"64",3656,"Clifton, Green Lane",132368,2012-06-18,528739,286,"Stone loach","Barbatula barbatula",706932,1,158763,,,33,,""
"65",3656,"Clifton, Green Lane",132368,2012-06-18,528739,286,"Stone loach","Barbatula barbatula",706933,2,158768,,,6,,""
"66",36189,"North Clifton Net",134361,2012-10-10,532274,194,"Roach","Rutilus rutilus",712148,1,159597,,,232,,""
"67",36189,"North Clifton Net",134361,2012-10-10,532275,181,"Bleak","Alburnus alburnus",712149,1,159600,,,1,,""
"68",36189,"North Clifton Net",134361,2012-10-10,532276,152,"Chub","Leuciscus cephalus",712150,1,159598,,,62,,""
