"","SITE_ID","SITE_NAME","SURVEY_ID","EVENT_DATE","EVENT_DATE_YEAR","SAMPLE_CODE","SURVEY_RANKED_NGR","SURVEY_RANKED_EASTING","SURVEY_RANKED_NORTHING","SURVEY_LENGTH","SURVEY_WIDTH","SURVEY_AREA","FISHED_WIDTH","FISHED_AREA","SURVEY_METHOD","SURVEY_STRATEGY","NO_OF_RUNS","SURVEY_SPECIES_ID","SPECIES_ID","SPECIES_NAME","LATIN_NAME","RUN1","RUN2","RUN3","RUN4","RUN5","RUN6","ALL_RUNS","SPCSNO","SPCSNO_SE","SPCSPV","SPCSPV_SE","OBSERVED_ABUNDANCE","ZERO_CATCH","SURVEY_STATUS","IS_THIRD_PARTY","IS_SPECIES_SELECTIVE","SURVEY_INSERT_DATE"
"1",3540,"Nether Lock to Cromwell",148183,2016-05-23,2016,"","SK8002155543",480021,355543,7100,60,426000,60,426000,"PDC ELECTRIC FISHING","CATCH PUE/T SAMPLE",1,646964,151,"Barbel","Barbus barbus",3,,,,,,3,,,,,"","No","Completed","No","No",2016-06-10
"2",3540,"Nether Lock to Cromwell",148183,2016-05-23,2016,"","SK8002155543",480021,355543,7100,60,426000,60,426000,"PDC ELECTRIC FISHING","CATCH PUE/T SAMPLE",1,646965,194,"Roach","Rutilus rutilus",21,,,,,,21,,,,,"","No","Completed","No","No",2016-06-10
"3",3540,"Nether Lock to Cromwell",148183,2016-05-23,2016,"","SK8002155543",480021,355543,7100,60,426000,60,426000,"PDC ELECTRIC FISHING","CATCH PUE/T SAMPLE",1,646966,153,"Dace","Leuciscus leuciscus",10,,,,,,10,,,,,"","No","Completed","No","No",2016-06-10
"4",3540,"Nether Lock to Cromwell",148183,2016-05-23,2016,"","SK8002155543",480021,355543,7100,60,426000,60,426000,"PDC ELECTRIC FISHING","CATCH PUE/T SAMPLE",1,646967,152,"Chub","Leuciscus cephalus",5,,,,,,5,,,,,"","No","Completed","No","No",2016-06-10
"5",3540,"Nether Lock to Cromwell",148183,2016-05-23,2016,"","SK8002155543",480021,355543,7100,60,426000,60,426000,"PDC ELECTRIC FISHING","CATCH PUE/T SAMPLE",1,646968,211,"Perch","Perca fluviatilis",3,,,,,,3,,,,,"","No","Completed","No","No",2016-06-10
"6",3540,"Nether Lock to Cromwell",148183,2016-05-23,2016,"","SK8002155543",480021,355543,7100,60,426000,60,426000,"PDC ELECTRIC FISHING","CATCH PUE/T SAMPLE",1,646969,182,"Common bream","Abramis brama",3,,,,,,3,,,,,"","No","Completed","No","No",2016-06-10
"7",3540,"Nether Lock to Cromwell",148183,2016-05-23,2016,"","SK8002155543",480021,355543,7100,60,426000,60,426000,"PDC ELECTRIC FISHING","CATCH PUE/T SAMPLE",1,646970,193,"Gudgeon","Gobio gobio",1,,,,,,1,,,,,"","No","Completed","No","No",2016-06-10
"8",3540,"Nether Lock to Cromwell",148183,2016-05-23,2016,"","SK8002155543",480021,355543,7100,60,426000,60,426000,"PDC ELECTRIC FISHING","CATCH PUE/T SAMPLE",1,646971,213,"Pike","Esox lucius",3,,,,,,3,,,,,"","No","Completed","No","No",2016-06-10
"9",3540,"Nether Lock to Cromwell",148183,2016-05-23,2016,"","SK8002155543",480021,355543,7100,60,426000,60,426000,"PDC ELECTRIC FISHING","CATCH PUE/T SAMPLE",1,646972,424,"Zander","Sander lucioperca",4,,,,,,4,,,,,"","No","Completed","No","No",2016-06-10
"10",3544,"Dunham Net",107690,2007-08-17,2007,"","SK8190274475",481902,374475,25,75,1875,5,125,"SEINE NETTING","SINGLE CATCH SAMPLE (PART WIDTH)",1,402269,194,"Roach","Rutilus rutilus",5,,,,,,5,,,,,"","No","Completed","No","No",2007-10-22
