"","DATA_OWNER","COUNTRY","SITE_ID","SITE_NAME","NEW_AREA_NAME","LOCATION_NAME","REGION","AREA","ABC_SITE","TOP_TIER_SITE","SITE_PARENT_ID","SITE_PARENT_NAME","GEO_WATERBODY","SITE_RANKED_NGR","SITE_RANKED_EASTING","SITE_RANKED_NORTHING","N_SURVEYS","FIRST_SURVEY","LAST_SURVEY"
"1","Environment Agency","England",3540,"Nether Lock to Cromwell","Derbyshire Nottinghamshire and Leicestershire","Midlands East","Midlands","East","TRENT/NETHER LOCK TO CROMWELL/","TRENT",3500,"TRENT","GB104028053110","SK8002155543",480021,355543,1,2016-05-23,2016-05-23
"2","Environment Agency","England",3544,"Dunham Net","Derbyshire Nottinghamshire and Leicestershire","Midlands East","Midlands","East","TRENT/DUNHAM NET/","TRENT",3500,"TRENT","GB104028058480","SK8190274475",481902,374475,3,2007-08-17,2009-10-07
"3","Environment Agency","England",3564,"Nooning Lane","Derbyshire Nottinghamshire and Leicestershire","Midlands East","Midlands","East","TRENT/DERWENT/NOONING LANE/","TRENT",3547,"DERWENT","GB104028053240","SK4303533340",443035,333340,9,1998-02-16,2017-08-24
"4","Environment Agency","England",3565,"Church Wilne","Derbyshire Nottinghamshire and Leicestershire","Midlands East","Midlands","East","TRENT/DERWENT/CHURCH WILNE/","TRENT",3547,"DERWENT","GB104028053240","SK4458331493",444583,331493,9,1993-04-28,2008-10-05
"5","Environment Agency","England",3614,"Ratcliffe on Soar","Derbyshire Nottinghamshire and Leicestershire","Midlands East","Midlands","East","TRENT/SOAR/RATCLIFFE ON SOAR/","TRENT",3597,"SOAR","GB104028047212","SK4948429007",449484,329007,17,1992-08-13,2022-06-29
"6","Environment Agency","England",3650,"St. Leonards Riding School","Derbyshire Nottinghamshire and Leicestershire","Midlands East","Midlands","East","TRENT/EREWASH/ST. LEONARDS RIDING SCHOOL/","TRENT",3649,"EREWASH","GB104028052480","SK5059234203",450592,334203,4,1991-07-16,2004-07-12
"7","Environment Agency","England",3651,"Royal Avenue","Derbyshire Nottinghamshire and Leicestershire","Midlands East","Midlands","East","TRENT/EREWASH/ROYAL AVENUE/","TRENT",3649,"EREWASH","GB104028052480","SK4875634566",448756,334566,7,1991-07-17,2019-04-17
"8","Environment Agency","England",3656,"Clifton, Green Lane","Derbyshire Nottinghamshire and Leicestershire","Midlands East","Midlands","East","TRENT/FAIRHAM BROOK/CLIFTON, GREEN LANE/","TRENT",3655,"FAIRHAM BROOK","GB104028053150","SK5600933696",456009,333696,4,1996-08-29,2012-06-18
"9","Environment Agency","England",3659,"Q.M.C.","Derbyshire Nottinghamshire and Leicestershire","Midlands East","Midlands","East","TRENT/LEEN/Q.M.C./","TRENT",3658,"LEEN","GB104028053250","SK5498038869",454980,338869,4,1995-06-07,2022-07-29
"10","Environment Agency","England",3663,"Epperstone Wash Bridge","Derbyshire Nottinghamshire and Leicestershire","Midlands East","Midlands","East","TRENT/DOVER BECK/EPPERSTONE WASH BRIDGE/","TRENT",3661,"DOVER BECK","GB104028053370","SK6519948009",465199,348009,3,1989-02-09,2002-07-15
